Episode,Player 1 Wins,Player 2 Wins,Draws
10,5,5,0
20,14,5,1
30,22,7,1
40,30,9,1
50,37,11,2
60,45,13,2
70,51,15,4
80,60,16,4
90,65,21,4
100,73,23,4
110,79,27,4
120,87,29,4
130,96,30,4
140,103,33,4
150,108,38,4
160,114,41,5
170,124,41,5
180,130,45,5
190,137,48,5
200,144,49,7
210,151,51,8
220,159,53,8
230,165,55,10
240,172,57,11
250,180,58,12
260,186,61,13
270,195,61,14
280,201,65,14
290,208,68,14
300,217,69,14
310,222,74,14
320,228,76,16
330,236,77,17
340,244,79,17
350,254,79,17
360,261,82,17
370,269,83,18
380,275,87,18
390,283,89,18
400,290,92,18
410,298,94,18
420,306,96,18
430,316,96,18
440,323,99,18
450,331,100,19
460,337,104,19
470,343,108,19
480,350,111,19
490,358,113,19
500,364,116,20
510,371,119,20
520,379,120,21
530,387,122,21
540,395,123,22
550,400,127,23
560,408,129,23
570,414,131,25
580,418,136,26
590,425,139,26
600,433,141,26
610,442,142,26
620,449,144,27
630,456,147,27
640,462,150,28
650,472,150,28
660,480,151,29
670,489,152,29
680,498,153,29
690,505,156,29
700,512,159,29
710,520,161,29
720,527,164,29
730,534,166,30
740,542,168,30
750,548,172,30
760,556,174,30
770,563,177,30
780,569,180,31
790,577,182,31
800,585,184,31
810,593,186,31
820,601,188,31
830,607,192,31
840,615,194,31
850,623,196,31
860,631,198,31
870,637,201,32
880,643,205,32
890,650,208,32
900,657,211,32
910,665,213,32
920,671,216,33
930,681,216,33
940,688,219,33
950,696,221,33
960,704,223,33
970,713,224,33
980,719,226,35
990,725,229,36
1000,731,231,38
1010,739,233,38
1020,743,238,39
1030,749,242,39
1040,758,243,39
1050,764,247,39
1060,770,250,40
1070,779,251,40
1080,786,253,41
1090,792,256,42
1100,797,261,42
1110,801,267,42
1120,808,270,42
1130,815,273,42
1140,824,274,42
1150,831,277,42
1160,838,279,43
1170,844,282,44
1180,852,284,44
1190,856,289,45
1200,861,293,46
1210,866,297,47
1220,874,299,47
1230,879,304,47
1240,887,306,47
1250,895,308,47
1260,903,310,47
1270,910,313,47
1280,919,314,47
1290,924,319,47
1300,932,321,47
1310,939,324,47
1320,946,327,47
1330,953,330,47
1340,961,331,48
1350,970,331,49
1360,977,334,49
1370,986,335,49
1380,992,338,50
1390,999,341,50
1400,1006,343,51
1410,1013,346,51
1420,1020,348,52
1430,1026,352,52
1440,1033,354,53
1450,1039,357,54
1460,1048,358,54
1470,1054,361,55
1480,1057,368,55
1490,1062,371,57
1500,1068,375,57
1510,1076,376,58
1520,1084,378,58
1530,1091,380,59
1540,1099,382,59
1550,1104,386,60
1560,1110,388,62
1570,1114,394,62
1580,1121,397,62
1590,1127,401,62
1600,1133,404,63
1610,1139,408,63
1620,1148,409,63
1630,1152,415,63
1640,1157,418,65
1650,1165,419,66
1660,1172,422,66
1670,1180,424,66
1680,1189,425,66
1690,1198,425,67
1700,1205,427,68
1710,1213,429,68
1720,1219,433,68
1730,1226,436,68
1740,1235,437,68
1750,1241,440,69
1760,1249,442,69
1770,1257,444,69
1780,1265,446,69
1790,1271,450,69
1800,1279,452,69
1810,1283,458,69
1820,1286,464,70
1830,1293,467,70
1840,1300,469,71
1850,1307,472,71
1860,1311,477,72
1870,1317,481,72
1880,1323,485,72
1890,1330,488,72
1900,1339,489,72
1910,1347,491,72
1920,1353,494,73
1930,1360,497,73
1940,1368,499,73
1950,1374,503,73
1960,1382,504,74
1970,1390,505,75
1980,1396,507,77
1990,1403,509,78
2000,1411,511,78
2010,1418,514,78
2020,1424,518,78
2030,1433,519,78
2040,1441,520,79
2050,1447,523,80
2060,1454,526,80
2070,1460,530,80
2080,1469,530,81
2090,1477,532,81
2100,1484,534,82
2110,1491,537,82
2120,1498,540,82
2130,1506,542,82
2140,1512,546,82
2150,1520,546,84
2160,1525,550,85
2170,1533,552,85
2180,1539,555,86
2190,1545,559,86
2200,1553,561,86
2210,1558,566,86
2220,1566,568,86
2230,1573,571,86
2240,1581,573,86
2250,1585,579,86
2260,1591,582,87
2270,1600,583,87
2280,1608,584,88
2290,1617,585,88
2300,1625,587,88
2310,1633,589,88
2320,1638,593,89
2330,1647,594,89
2340,1652,598,90
2350,1661,599,90
2360,1669,601,90
2370,1677,603,90
2380,1685,605,90
2390,1694,606,90
2400,1702,607,91
2410,1709,610,91
2420,1717,612,91
2430,1724,614,92
2440,1728,620,92
2450,1734,623,93
2460,1740,627,93
2470,1748,629,93
2480,1755,631,94
2490,1761,635,94
2500,1769,637,94
2510,1776,640,94
2520,1783,643,94
2530,1789,646,95
2540,1795,649,96
2550,1803,650,97
2560,1809,653,98
2570,1815,657,98
2580,1822,660,98
2590,1829,662,99
2600,1835,665,100
2610,1842,668,100
2620,1851,669,100
2630,1859,671,100
2640,1868,671,101
2650,1874,674,102
2660,1882,676,102
2670,1886,682,102
2680,1891,687,102
2690,1896,691,103
2700,1906,691,103
2710,1913,694,103
2720,1921,696,103
2730,1930,697,103
2740,1939,698,103
2750,1945,702,103
2760,1952,705,103
2770,1960,707,103
2780,1965,712,103
2790,1971,714,105
2800,1974,721,105
2810,1980,722,108
2820,1987,725,108
2830,1994,728,108
2840,2000,732,108
2850,2009,732,109
2860,2017,734,109
2870,2027,734,109
2880,2033,738,109
2890,2037,743,110
2900,2044,746,110
2910,2051,749,110
2920,2058,752,110
2930,2065,755,110
2940,2073,757,110
2950,2081,759,110
2960,2088,762,110
2970,2096,764,110
2980,2103,767,110
2990,2111,769,110
3000,2120,770,110
